"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 12 07:14:19 EDT 2024","Fri Jul 12 07:14:19 EDT 2024","128","","GET","TestReqresGet","","","Get List Resource","Verify that we can retrieve a list of resources successfully."
"passed","Fri Jul 12 07:14:19 EDT 2024","Fri Jul 12 07:14:19 EDT 2024","346","","GET","TestReqresGet","","","Get Single User Not Found","Verify that requesting a non-existing user returns a 404 status."
"passed","Fri Jul 12 07:14:18 EDT 2024","Fri Jul 12 07:14:19 EDT 2024","339","","AUTHORIZATION","TestReqresAuthorization","","","Login Unsuccessful","Verify that logging in without a password returns an error."
"passed","Fri Jul 12 07:14:22 EDT 2024","Fri Jul 12 07:14:22 EDT 2024","359","","UPDATE","TestReqresUpdate","","","Patch Update User","Verify that we can partially update a user's details successfully using PATCH."
"passed","Fri Jul 12 07:14:17 EDT 2024","Fri Jul 12 07:14:17 EDT 2024","650","","CREATE","TestReqresPost","","","Create a User","Verify that we can create a new user successfully."
"passed","Fri Jul 12 07:14:20 EDT 2024","Fri Jul 12 07:14:20 EDT 2024","448","","GET","TestReqresGet","","","Get Single Resource Not Found","Verify that requesting a non-existing resource returns a 404 status."
"passed","Fri Jul 12 07:14:20 EDT 2024","Fri Jul 12 07:14:20 EDT 2024","125","","GET","TestReqresGet","","","Get Single Resource","Verify that we can retrieve a single resource by ID."
"passed","Fri Jul 12 07:14:19 EDT 2024","Fri Jul 12 07:14:19 EDT 2024","127","","GET","TestReqresGet","","","Get Users List","Verify that we can retrieve a list of users successfully."
"passed","Fri Jul 12 07:14:22 EDT 2024","Fri Jul 12 07:14:23 EDT 2024","793","","DELETE","TestReqresDelete","","","Delete User","Verify that we can delete a user by ID successfully."
"passed","Fri Jul 12 07:14:18 EDT 2024","Fri Jul 12 07:14:18 EDT 2024","318","","AUTHORIZATION","TestReqresAuthorization","","","Login Successful","Verify that we can log in a user successfully."
"passed","Fri Jul 12 07:14:19 EDT 2024","Fri Jul 12 07:14:19 EDT 2024","121","","GET","TestReqresGet","","","Get Single User","Verify that we can retrieve a single user by ID."
"passed","Fri Jul 12 07:14:17 EDT 2024","Fri Jul 12 07:14:18 EDT 2024","525","","AUTHORIZATION","TestReqresAuthorization","","","Register Successful","Verify that we can register a user successfully."
"passed","Fri Jul 12 07:14:20 EDT 2024","Fri Jul 12 07:14:22 EDT 2024","1530","","GET DELAYED RESPONSE","TestReqresDelayedResponse","","","Delayed Response","Verify that we can retrieve users with a delay."
"passed","Fri Jul 12 07:14:18 EDT 2024","Fri Jul 12 07:14:18 EDT 2024","325","","AUTHORIZATION","TestReqresAuthorization","","","Register Unsuccessful","Verify that registering without a password returns an error."
"passed","Fri Jul 12 07:14:22 EDT 2024","Fri Jul 12 07:14:22 EDT 2024","331","","UPDATE","TestReqresUpdate","","","Put Update User","Verify that we can update a user's details successfully using PUT."
